name,genre,platform,user_score,critic_score,global_sales
Turok,Action,PS3,6.0,67.0,0.67
Terraria,Action,X360,7.2,81.0,0.67
Red Steel,Shooter,Wii,6.8,63.0,0.67
Unreal Tournament III,Shooter,PS3,7.7,86.0,0.67
Fossil Fighters: Champions,Role-Playing,DS,7.1,68.0,0.67
The Sims 3,Simulation,DS,6.4,73.0,0.67
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,GBA,6.8,66.0,0.67
NFL Street,Sports,XB,8.8,81.0,0.66
Final Fantasy Crystal Chronicles: Ring of Fates,Role-Playing,DS,7.2,77.0,0.66
Bakugan: Battle Brawlers,Action,Wii,7.2,62.0,0.66
Blazing Angels: Squadrons of WWII,Simulation,PS3,6.9,67.0,0.66
WWE SmackDown vs. RAW 2007,Fighting,PSP,8.1,78.0,0.66
F1 2015,Racing,PS4,6.3,65.0,0.66
Tony Hawk's Proving Ground,Sports,PS2,6.6,65.0,0.66
The Darkness,Shooter,PS3,7.7,80.0,0.66
MLB 2004,Sports,PS2,7.9,61.0,0.66
Darkstone,Role-Playing,PS,8.3,58.0,0.66
NCAA March Madness 2003,Sports,PS2,8.0,74.0,0.66
Thrillville,Strategy,PS2,2.9,69.0,0.66
Castlevania: Lords of Shadow,Action,X360,7.8,83.0,0.66
NHL 10,Sports,X360,8.4,88.0,0.66
100 Classic Books,Misc,DS,6.0,70.0,0.66
Street Fighter Anniversary Collection,Fighting,PS2,8.7,78.0,0.66
NHL 13,Sports,X360,6.6,83.0,0.66
Napoleon: Total War,Strategy,PC,7.9,81.0,0.66
Rayman Legends,Platform,WiiU,8.7,92.0,0.66
The Sims: Bustin' Out,Simulation,GC,9.0,81.0,0.66
BioShock Infinite,Shooter,PC,8.5,94.0,0.66
Ratatouille,Action,PSP,7.1,64.0,0.66
Lollipop Chainsaw,Action,PS3,7.1,67.0,0.66
Tom Clancy's EndWar,Strategy,PS3,6.6,76.0,0.66
Shrek: Hassle at the Castle,Action,GBA,7.4,71.0,0.66
Suikoden IV,Role-Playing,PS2,7.3,63.0,0.66
Gods Eater Burst,Action,PSP,7.9,71.0,0.66
Fist of the North Star: Ken's Rage,Action,PS3,6.9,60.0,0.66
One Piece: Pirate Warriors 2,Action,PS3,7.8,71.0,0.66
Brothers In Arms: Road to Hill 30,Shooter,XB,8.0,88.0,0.66
LEGO Jurassic World,Action,XOne,6.7,70.0,0.65
Kung Fu Panda,Action,PS2,8.6,73.0,0.65
Freedom Wars,Role-Playing,PSV,8.3,73.0,0.65
Shaun White Snowboarding,Sports,PS3,6.3,63.0,0.65
Radiata Stories,Role-Playing,PS2,9.0,74.0,0.65
F-Zero GX,Racing,GC,8.5,89.0,0.65
Disney's Chicken Little,Platform,PS2,8.9,60.0,0.65
Scene It? Box Office Smash,Misc,X360,7.4,76.0,0.65
Yoshi Topsy-Turvy,Platform,GBA,6.6,60.0,0.65
Monster Jam: Maximum Destruction,Racing,PS2,6.0,47.0,0.65
Tiger Woods PGA Tour 09,Sports,PS3,7.2,82.0,0.65
Mortal Kombat,Fighting,PSV,7.8,85.0,0.65
Tiger Woods PGA Tour 09,Sports,X360,7.8,84.0,0.65
Advance Wars 2: Black Hole Rising,Strategy,GBA,9.4,89.0,0.65
Wario: Master of Disguise,Platform,DS,7.4,60.0,0.65
The Last Story,Role-Playing,Wii,8.4,80.0,0.65
Drakengard,Role-Playing,PS2,9.1,63.0,0.65
Champions: Return to Arms,Role-Playing,PS2,8.8,77.0,0.65
Harry Potter and the Goblet of Fire,Action,PS2,6.7,68.0,0.65
Tiger Woods PGA Tour 10,Sports,X360,6.9,80.0,0.65
007: Quantum of Solace,Action,Wii,7.5,54.0,0.65
Farming Simulator 17,Simulation,PC,8.0,64.0,0.65
Borderlands 2,Shooter,PSV,7.6,64.0,0.64
Crash Bandicoot Purple: Ripto's Rampage,Platform,GBA,6.6,67.0,0.64
Assassin's Creed IV: Black Flag,Action,PC,7.7,84.0,0.64
Need For Speed: Undercover,Racing,Wii,6.2,54.0,0.64
Spyro: A Hero's Tail,Platform,PS2,8.0,60.0,0.64
Crash: Twinsanity,Platform,PS2,8.0,64.0,0.64
The LEGO Movie Videogame,Action,WiiU,7.7,68.0,0.64
Max Payne 2: The Fall of Max Payne,Shooter,XB,8.4,84.0,0.64
Drawn to Life: The Next Chapter,Puzzle,DS,7.7,72.0,0.64
GoldenEye: Rogue Agent,Shooter,PS2,7.0,60.0,0.64
WWE 2K15,Sports,X360,4.0,50.0,0.64
Star Ocean: First Departure,Role-Playing,PSP,7.4,74.0,0.64
James Bond 007: Everything or Nothing,Shooter,XB,7.4,83.0,0.64
X2: Wolverine's Revenge,Platform,PS2,7.2,58.0,0.64
NBA Live 06,Sports,XB,6.4,79.0,0.64
Rayman 3D,Platform,3DS,6.6,61.0,0.64
Football Manager 2014,Sports,PC,5.5,85.0,0.64
TimeSplitters 2,Shooter,XB,7.7,88.0,0.64
Onimusha: Dawn of Dreams,Action,PS2,8.9,81.0,0.64
Sengoku Basara: Samurai Heroes,Action,PS3,7.9,61.0,0.64
Stuntman: Ignition,Racing,X360,7.3,75.0,0.64
Real Heroes: Firefighter,Action,Wii,8.2,67.0,0.64
Dishonored 2,Action,PS4,7.7,88.0,0.64
The Crew,Racing,XOne,5.9,64.0,0.64
Dragon Ball: Raging Blast 2,Fighting,X360,7.4,57.0,0.64
NHL 13,Sports,PS3,6.8,84.0,0.64
Dead or Alive 5,Fighting,PS3,7.7,74.0,0.64
Evolve,Shooter,XOne,5.1,74.0,0.64
Lemony Snicket's A Series of Unfortunate Events,Platform,PS2,5.7,63.0,0.64
Lost Planet: Extreme Condition,Shooter,PS3,7.0,67.0,0.64
X-Men Legends II: Rise of Apocalypse,Role-Playing,PS2,7.3,82.0,0.63
LEGO Star Wars II: The Original Trilogy,Action,X360,8.0,81.0,0.63
Rock Band 3,Misc,Wii,6.9,91.0,0.63
Dragon Age II,Action,PC,4.5,82.0,0.63
Tony Hawk's Pro Skater 2x,Sports,XB,8.8,78.0,0.63
NBA Live 08,Sports,PS3,6.8,73.0,0.63
FIFA Soccer 2003,Sports,XB,7.7,88.0,0.63
The Lord of the Rings: Conquest,Action,X360,7.0,55.0,0.63
Far Cry 4,Shooter,PC,6.7,80.0,0.63
NASCAR 06: Total Team Control,Racing,PS2,7.7,78.0,0.63
Iron Man,Action,PSP,6.5,44.0,0.63
White Knight Chronicles II,Role-Playing,PS3,7.1,60.0,0.63
Juiced 2: Hot Import Nights,Racing,X360,7.6,68.0,0.63
Wolfenstein,Shooter,PS3,7.4,71.0,0.63
The Walking Dead: Survival Instinct,Shooter,X360,4.0,32.0,0.63
The Sims 3: Generations,Simulation,PC,3.6,70.0,0.63
Ape Escape 2,Platform,PS2,8.4,82.0,0.63
Sega Rally Revo,Racing,PS3,7.0,75.0,0.63
Shin Megami Tensei: Persona 3 FES,Role-Playing,PS2,8.3,89.0,0.63
FIFA Soccer 2002,Sports,PS2,5.8,82.0,0.63
Angry Birds Trilogy,Action,3DS,4.6,62.0,0.63
Condemned 2: Bloodshot,Action,X360,8.4,80.0,0.63
Okami,Action,PS2,9.3,93.0,0.63
Shin Megami Tensei: Persona 3 Portable,Role-Playing,PSP,8.3,89.0,0.63
NHL 2001,Sports,PS,7.7,88.0,0.63
Crysis 3,Shooter,PC,6.5,76.0,0.63
Buzz Lightyear of Star Command,Platform,PS,5.3,54.0,0.63
NHL 16,Sports,PS4,5.5,78.0,0.63
Tony Hawk's Project 8,Sports,PS3,7.2,76.0,0.63
Ghostbusters: The Video Game,Action,X360,8.5,79.0,0.63
XCOM: Enemy Unknown,Strategy,X360,8.3,90.0,0.62
Metal Gear Solid 2: Substance,Action,XB,8.5,87.0,0.62
Tony Hawk's American Wasteland,Sports,XB,7.7,77.0,0.62
Wild ARMs 3,Role-Playing,PS2,8.4,78.0,0.62
Madden NFL 07,Sports,GC,9.2,82.0,0.62
Tiger Woods PGA Tour 2004,Sports,XB,8.2,89.0,0.62
Test Drive Unlimited 2,Racing,PS3,6.1,70.0,0.62
Tak 2: The Staff of Dreams,Platform,PS2,8.0,71.0,0.62
Just Dance 3,Misc,PS3,6.0,75.0,0.62
LEGO Pirates of the Caribbean: The Video Game,Action,3DS,7.3,71.0,0.62
Donkey Kong Barrel Blast,Racing,Wii,6.8,46.0,0.62
Viewtiful Joe,Action,GC,8.3,93.0,0.62
The Urbz: Sims in the City,Simulation,GBA,9.2,72.0,0.62
Guitar Hero: Metallica,Misc,PS3,8.0,86.0,0.62
Strike Force Bowling,Sports,PS2,6.8,48.0,0.62
Red Steel 2,Shooter,Wii,8.6,80.0,0.62
XGRA: Extreme G-Racing Association,Racing,PS2,8.6,68.0,0.62
Mafia III,Action,XOne,4.6,67.0,0.62
Prince of Persia: The Forgotten Sands,Action,X360,7.8,74.0,0.62
Warriors Orochi 3,Action,PS3,7.9,70.0,0.62
DJ Hero 2,Misc,Wii,7.5,88.0,0.62
Tiger Woods PGA Tour 12: The Masters,Sports,X360,6.1,80.0,0.62
Wall-E,Platform,X360,6.3,50.0,0.62
Harry Potter and the Half-Blood Prince,Action,DS,4.3,48.0,0.61
NieR,Role-Playing,PS3,8.4,68.0,0.61
2014 FIFA World Cup Brazil,Sports,PS3,4.3,73.0,0.61
NBA 2K9,Sports,PS3,7.0,82.0,0.61
NFL Fever 2003,Sports,XB,8.6,72.0,0.61
Samurai Warriors 2,Action,PS2,8.8,58.0,0.61
Wet,Shooter,PS3,6.4,70.0,0.61
Cooking Mama 4: Kitchen Magic!,Simulation,3DS,6.0,56.0,0.61
Scribblenauts: Unlimited,Action,3DS,7.4,73.0,0.61
Fire Emblem: Shadow Dragon,Role-Playing,DS,7.0,81.0,0.61
Plants vs. Zombies: Garden Warfare,Shooter,PS4,7.6,75.0,0.61
Metroid Prime: Trilogy,Shooter,Wii,9.3,91.0,0.61
Robotech: Battlecry,Shooter,PS2,8.5,72.0,0.61
Disney Universe,Action,PS3,6.9,70.0,0.61
Advance Wars: Days of Ruin,Strategy,DS,8.7,86.0,0.61
Jak and Daxter: The Lost Frontier,Platform,PSP,6.3,71.0,0.61
Texas Hold 'Em Poker,Misc,GBA,6.8,49.0,0.61
Time Crisis 3,Shooter,PS2,8.1,81.0,0.61
Vanquish,Shooter,PS3,8.1,84.0,0.61
Tearaway,Adventure,PSV,8.9,87.0,0.61
Half-Life 2,Shooter,XB,8.6,90.0,0.61
Tony Hawk: RIDE,Sports,X360,3.0,46.0,0.61
Borderlands: The Pre-Sequel,Shooter,PS3,6.3,77.0,0.61
Major League Baseball 2K8,Sports,X360,5.9,70.0,0.61
Sacred 2: Fallen Angel,Role-Playing,PS3,7.1,70.0,0.61
pro evolution soccer 2011,Sports,X360,5.9,79.0,0.61
Major League Baseball 2K9,Sports,X360,5.3,64.0,0.61
Final Fantasy IV Advance,Role-Playing,GBA,7.3,85.0,0.61
Dragon Ball Z: Ultimate Tenkaichi,Fighting,PS3,5.4,58.0,0.61
Harry Potter and the Goblet of Fire,Action,GBA,6.0,71.0,0.61
Dragon Ball Z: Buu's Fury,Action,GBA,8.9,62.0,0.61
Spider-Man: Mysterio's Menace,Action,GBA,8.7,84.0,0.61
MySims Racing,Racing,DS,7.3,67.0,0.61
Naruto: Ultimate Ninja,Fighting,PS2,7.7,75.0,0.61
Pac-Man Party,Misc,Wii,5.9,59.0,0.61
Tony Hawk's Underground,Sports,GBA,7.7,86.0,0.6
Shadow The Hedgehog,Platform,PS2,6.0,45.0,0.6
Wave Race: Blue Storm,Racing,GC,8.3,80.0,0.6
Aliens: Colonial Marines,Shooter,PS3,3.6,43.0,0.6
Backyard Wrestling: Don't Try This at Home,Fighting,PS2,7.8,51.0,0.6
Yakuza: Dead Souls,Shooter,PS3,7.4,64.0,0.6
Fight Night Round 2,Fighting,XB,8.8,88.0,0.6
Dead Island: Riptide,Action,PS3,5.9,62.0,0.6
Kinect Sports Rivals,Sports,XOne,5.1,60.0,0.6
NBA 2K8,Sports,PS2,6.0,72.0,0.6
Dynasty Warriors 8,Action,PS3,8.5,68.0,0.6
Disney Infinity,Action,WiiU,7.6,71.0,0.6
Secret Agent Clank,Platform,PS2,6.7,61.0,0.6
Call of Juarez: Bound in Blood,Shooter,X360,7.6,77.0,0.6
Fighters Uncaged,Fighting,X360,4.6,32.0,0.6
Rayman Arena,Racing,PS2,8.6,63.0,0.6
Jaws Unleashed,Action,PS2,7.5,52.0,0.6
Half-Life,Shooter,PS2,8.6,87.0,0.6
Split/Second,Racing,X360,8.1,82.0,0.6
The Golden Compass,Action,DS,4.9,43.0,0.6
The Golden Compass,Action,Wii,6.8,35.0,0.6
Muramasa: The Demon Blade,Role-Playing,Wii,8.7,81.0,0.6
Okami,Action,Wii,8.9,90.0,0.6
LEGO The Hobbit,Action,PS4,6.6,72.0,0.6
WWE 2K17,Sports,PS4,6.9,69.0,0.6
Just Dance 2014,Misc,WiiU,7.6,72.0,0.6
NHL 15,Sports,PS4,3.6,60.0,0.6
Total War: Shogun 2,Strategy,PC,8.3,90.0,0.6
SimCity DS,Simulation,DS,6.3,69.0,0.6
Hot Wheels: Stunt Track Challenge,Racing,PS2,8.1,62.0,0.59
Monopoly,Misc,X360,5.8,56.0,0.59
Tony Hawk: RIDE,Sports,PS3,2.1,44.0,0.59
Medal of Honor: Frontline,Shooter,GC,7.9,80.0,0.59
Dead Space,Action,PC,8.0,86.0,0.59
NHL 11,Sports,PS3,7.1,88.0,0.59
Yakuza 5,Action,PS3,8.5,83.0,0.59
2002 FIFA World Cup,Sports,PS2,5.6,73.0,0.59
MVP Baseball 2004,Sports,XB,8.5,90.0,0.59
Crash Bandicoot: The Wrath of Cortex,Platform,GC,7.3,62.0,0.59
WWE 2K16,Sports,XOne,5.7,72.0,0.59
Assassin's Creed: Brotherhood,Action,PC,8.2,88.0,0.59
Dead or Alive Xtreme Beach Volleyball,Sports,XB,7.8,73.0,0.59
Silent Hill: Shattered Memories,Action,PS2,6.8,77.0,0.59
Blur,Racing,X360,8.3,82.0,0.59
Madden NFL 06,Sports,X360,4.9,74.0,0.59
Asphalt: Urban GT,Racing,DS,7.5,60.0,0.59
Mega Man Anniversary Collection,Platform,PS2,9.0,81.0,0.59
Metal Gear Solid V: Ground Zeroes,Action,PS3,5.9,66.0,0.59
Harvest Moon: Friends of Mineral Town,Simulation,GBA,9.6,81.0,0.59
Naruto: The Broken Bond,Action,X360,7.8,80.0,0.59
WarioWare D.I.Y.,Misc,DS,8.7,82.0,0.59
Iron Man,Action,Wii,7.0,44.0,0.59
The Fight: Lights Out,Fighting,PS3,7.5,48.0,0.59
Mega Man X7,Action,PS2,5.1,58.0,0.58
Deus Ex: Human Revolution,Shooter,PC,8.5,90.0,0.58
Final Fantasy Anniversary Edition,Role-Playing,PSP,7.7,67.0,0.58
SoulCalibur V,Fighting,X360,6.2,77.0,0.58
Romancing SaGa,Role-Playing,PS2,8.0,58.0,0.58
Lost: Via Domus,Action,X360,6.4,55.0,0.58
Top Spin 3,Action,Wii,5.7,68.0,0.58
Game Party in Motion,Misc,X360,3.7,33.0,0.58
The Lord of the Rings: The Third Age,Role-Playing,PS2,8.2,73.0,0.58
Call of Duty: Black Ops,Shooter,DS,6.0,74.0,0.58
NCAA Football 09,Sports,PS3,7.3,81.0,0.58
MLB 11: The Show,Sports,PS3,7.8,90.0,0.58
Kinect Rush: A Disney Pixar Adventure,Adventure,X360,5.1,68.0,0.58
Skylanders SWAP Force,Platform,WiiU,6.0,89.0,0.58
Terminator 3: Rise of the Machines,Action,PS2,6.3,38.0,0.58
Guitar Hero: Smash Hits,Misc,Wii,7.7,74.0,0.58
Tom Clancy's HAWX,Action,X360,7.3,73.0,0.58
Alice: Madness Returns,Adventure,PS3,7.9,70.0,0.58
Shin Megami Tensei IV,Role-Playing,3DS,8.3,83.0,0.58
NBA 2K7,Sports,X360,7.8,84.0,0.58
NHL 12,Sports,PS3,7.5,86.0,0.58
NASCAR: Dirt to Daytona,Racing,PS2,8.8,84.0,0.58
Unreal Tournament,Shooter,PS2,6.8,77.0,0.58
Digimon World 2,Role-Playing,PS,7.6,42.0,0.58
Prince of Persia: The Two Thrones,Action,XB,8.4,85.0,0.58
JoJo's Bizarre Adventure: All Star Battle,Fighting,PS3,8.3,71.0,0.58
Contra: Shattered Soldier,Shooter,PS2,6.6,78.0,0.58
Final Fantasy: The 4 Heroes of Light,Role-Playing,DS,7.1,71.0,0.58
Rayman Legends,Platform,PS3,8.7,91.0,0.58
FIFA Soccer,Sports,PSV,7.2,79.0,0.58
Tenchu 2: Birth of the Stealth Assassins,Action,PS,8.7,77.0,0.58
Tony Hawk's Pro Skater 4,Sports,GC,8.6,91.0,0.58
Naruto: Uzumaki Chronicles 2,Action,PS2,6.9,52.0,0.58
NHL 06,Sports,PS2,8.5,78.0,0.58
Parasite Eve II,Role-Playing,PS,9.0,79.0,0.58
Skate it,Sports,Wii,8.4,70.0,0.58
Madden NFL 2002,Sports,XB,8.1,90.0,0.58
Phineas and Ferb: Across the 2nd Dimension,Action,Wii,8.3,76.0,0.57
Far Cry Instincts,Shooter,XB,5.7,85.0,0.57
Tony Hawk's Pro Skater 4,Sports,GBA,8.8,85.0,0.57
ATV Offroad Fury: Blazin' Trails,Racing,PSP,7.8,63.0,0.57
Tales of the Abyss,Role-Playing,PS2,8.4,78.0,0.57
Payday 2,Shooter,X360,6.3,75.0,0.57
Blacksite: Area 51,Shooter,X360,6.1,62.0,0.57
Spyro Orange: The Cortex Conspiracy,Action,GBA,7.0,60.0,0.57
XCOM: Enemy Unknown,Strategy,PS3,8.2,89.0,0.57
Skylanders: Spyro's Adventure,Action,3DS,4.9,82.0,0.57
The Sims 3: World Adventures,Simulation,PC,8.0,81.0,0.57
Madden NFL 06,Sports,GC,8.5,86.0,0.57
Titanfall 2,Shooter,XOne,8.0,87.0,0.57
BlazBlue: Calamity Trigger,Fighting,PS3,8.4,87.0,0.57
Iron Man,Action,X360,5.9,45.0,0.57
Naruto: Ultimate Ninja 2,Fighting,PS2,7.9,73.0,0.57
NHL 10,Sports,PS3,7.9,88.0,0.57
Rock Band 3,Misc,PS3,8.0,91.0,0.57
Blood Wake,Shooter,XB,7.5,71.0,0.57
Dynasty Warriors 5: Xtreme Legends,Action,PS2,9.1,57.0,0.57
WWE 2K15,Sports,XOne,5.7,56.0,0.57
FIFA World Cup Germany 2006,Sports,PS2,8.1,77.0,0.57
Wreckless: ThE YaKuza MisSiOns,Racing,XB,5.2,74.0,0.57
Defiance,Shooter,X360,7.2,60.0,0.57
Disgaea 4: A Promise Unforgotten,Role-Playing,PS3,7.8,80.0,0.57
SpongeBob SquarePants: Battle for Bikini Bottom,Platform,XB,8.9,70.0,0.57
Doom 3 BFG Edition,Shooter,PS3,6.4,67.0,0.57
Spider-Man 3,Platform,X360,7.0,63.0,0.57
Pro Evolution Soccer 2012,Action,PSP,6.3,74.0,0.57
The Conduit,Shooter,Wii,8.2,69.0,0.57
Just Dance 2016,Misc,WiiU,6.9,73.0,0.57
Disney Universe,Action,X360,5.3,66.0,0.57
RalliSport Challenge,Racing,XB,8.3,87.0,0.57
Resident Evil Outbreak File #2,Action,PS2,7.7,58.0,0.57
Top Spin 3,Action,PS3,7.5,75.0,0.57
XIII,Shooter,PS2,8.6,73.0,0.57
Tomb Raider: Anniversary,Action,PSP,8.2,78.0,0.57
Rune Factory 4,Role-Playing,3DS,8.1,78.0,0.57
3D Dot Game Heroes,Role-Playing,PS3,8.0,77.0,0.57
Up,Action,Wii,8.0,62.0,0.56
Breath of Fire IV,Role-Playing,PS,8.9,83.0,0.56
True Crime: Streets of LA,Action,GC,7.3,77.0,0.56
Odin Sphere,Role-Playing,PS2,8.6,83.0,0.56
Titanfall,Shooter,PC,6.2,86.0,0.56
Arena Football,Sports,PS2,8.6,66.0,0.56
The Lord of the Rings: The Return of the King,Action,GBA,8.2,77.0,0.56
NHL Hitz 20-02,Sports,PS2,7.6,78.0,0.56
The Legend of Spyro: Dawn of the Dragon,Platform,Wii,6.5,64.0,0.56
Classic NES Series: Dr. Mario,Puzzle,GBA,7.5,66.0,0.56
The Sims: Bustin' Out,Simulation,XB,8.9,81.0,0.56
NCAA March Madness 07,Sports,PS2,8.6,63.0,0.56
"Monsters, Inc. Scream Team",Platform,PS,6.9,65.0,0.56
"Warhammer 40,000: Space Marine",Shooter,X360,7.8,76.0,0.56
Top Spin 3,Action,X360,7.6,78.0,0.56
Cabela's Big Game Hunter 2005 Adventures,Sports,PS2,8.4,55.0,0.56
LEGO Rock Band,Misc,X360,7.2,71.0,0.56
Battlefield 2: Modern Combat,Shooter,XB,8.2,80.0,0.56
Tom Clancy's HAWX,Action,PS3,8.1,74.0,0.56
All-Star Baseball 2002,Sports,PS2,7.6,77.0,0.56
Need for Speed: Most Wanted,Racing,GC,9.1,80.0,0.56
Bolt,Adventure,Wii,5.8,50.0,0.56
WWE Raw 2,Fighting,XB,7.3,68.0,0.56
Manhunt 2,Action,PS2,7.8,67.0,0.56
Fullmetal Alchemist and the Broken Angel,Role-Playing,PS2,8.1,56.0,0.56
Tony Hawk's Project 8,Sports,PSP,7.6,68.0,0.56
Batman Begins,Action,PS2,7.3,64.0,0.56
Tony Hawk's Proving Ground,Sports,X360,5.4,72.0,0.56
Dr. Seuss' The Cat in the Hat,Misc,PS2,6.5,56.0,0.56
Barbie Groovy Games,Misc,GBA,7.0,47.0,0.56
Wolfenstein,Shooter,X360,7.5,72.0,0.56
Blinx: The Time Sweeper,Platform,XB,8.0,71.0,0.56
ESPN NFL Football,Sports,PS2,8.5,91.0,0.56
Major League Baseball 2K5,Sports,XB,8.2,81.0,0.56
Tetris Party Deluxe,Puzzle,Wii,5.8,72.0,0.56
Gravity Rush,Action,PSV,8.5,83.0,0.56
Quantum Break,Action,XOne,6.8,77.0,0.56
Archer Maclean's Mercury,Puzzle,PSP,6.6,75.0,0.56
TMNT,Action,X360,6.3,58.0,0.56
Soldier of Fortune: Gold Edition,Shooter,PS2,6.8,59.0,0.56
Final Fantasy IV: The Complete Collection,Role-Playing,PSP,7.5,77.0,0.56
Frontlines: Fuel of War,Shooter,X360,7.8,75.0,0.56
MX 2002 Featuring Ricky Carmichael,Racing,PS2,8.3,76.0,0.56
NCAA Football 07,Sports,XB,6.9,88.0,0.56
Lunar: Silver Star Story Complete,Role-Playing,PS,9.1,78.0,0.55
Harvest Moon: The Tale of Two Towns,Simulation,DS,7.5,68.0,0.55
No More Heroes,Action,Wii,8.4,83.0,0.55
God of War: Origins Collection,Action,PS3,8.4,84.0,0.55
Dora The Explorer: Dora Saves the Snow Princess,Platform,Wii,7.0,47.0,0.55
Soul Reaver 2,Action,PS2,8.5,80.0,0.55
Metal Gear Solid 3: Subsistence,Action,PS2,9.3,94.0,0.55
Enslaved: Odyssey to the West,Action,PS3,7.4,80.0,0.55
WWF Raw,Fighting,XB,6.6,68.0,0.55
Guitar Hero Live,Misc,XOne,5.1,81.0,0.55
Extermination,Action,PS2,7.8,67.0,0.55
Batman: Vengeance,Adventure,PS2,6.7,68.0,0.55
Hot Shots Golf: World Invitational,Sports,PSV,8.1,76.0,0.55
Tony Hawk's Pro Skater 3,Sports,XB,8.4,93.0,0.55
Mega Man Zero,Platform,GBA,8.9,82.0,0.55
Resident Evil: Revelations 2,Action,PS4,7.7,75.0,0.55
NBA 2K8,Sports,PS3,6.8,81.0,0.55
Rayman Origins,Platform,Wii,8.3,92.0,0.55
Assassin's Creed: Unity,Action,PC,3.0,70.0,0.55
MX vs. ATV: Alive,Racing,X360,7.2,63.0,0.55
Shrek 2,Platform,XB,8.4,72.0,0.55
Purr Pals,Simulation,DS,6.8,67.0,0.55
Assassin's Creed II,Action,PC,6.9,86.0,0.55
Tak and the Power of Juju,Platform,GBA,9.2,79.0,0.55
Lips: Number One Hits,Misc,X360,7.6,70.0,0.55
Turok: Evolution,Shooter,XB,6.7,68.0,0.55
Jak X: Combat Racing,Racing,PS2,7.7,76.0,0.55
American Idol,Misc,PS2,4.8,41.0,0.55
Red Dead Revolver,Shooter,XB,8.5,74.0,0.55
CrossworDS,Puzzle,DS,6.8,67.0,0.55
Viva Pinata: Pocket Paradise,Simulation,DS,7.1,82.0,0.55
Sly Cooper: Thieves in Time,Platform,PS3,8.3,75.0,0.54
Iron Man,Action,PS2,5.6,47.0,0.54
Spec Ops: The Line,Shooter,PS3,8.0,77.0,0.54
The SpongeBob SquarePants Movie,Platform,XB,8.5,74.0,0.54
NHL 14,Sports,PS3,6.0,80.0,0.54
F1 2013,Racing,PS3,6.3,77.0,0.54
Legends of WrestleMania,Fighting,PS3,6.5,70.0,0.54
Tiger Woods PGA Tour 08,Sports,X360,7.8,80.0,0.54
Dance Dance Revolution Ultramix,Simulation,XB,8.8,82.0,0.54
Crash Tag Team Racing,Racing,PS2,7.0,66.0,0.54
Front Mission 4,Strategy,PS2,8.6,75.0,0.54
Rayman Origins,Platform,PSV,8.4,88.0,0.54
F.E.A.R.,Shooter,PS3,7.4,72.0,0.54
Enslaved: Odyssey to the West,Action,X360,7.8,82.0,0.54
Dragon Ball Z: Shin Budokai,Fighting,PSP,8.1,70.0,0.54
Tiger Woods PGA Tour 13,Sports,PS3,5.7,75.0,0.54
Dynasty Warriors: Gundam 3,Action,PS3,7.5,58.0,0.54
Def Jam: Fight for NY,Fighting,XB,8.5,84.0,0.54
Tiger Woods PGA Tour 11,Sports,Wii,8.3,84.0,0.54
NBA Live 10,Sports,PS3,7.5,81.0,0.54
Metro 2033,Shooter,X360,7.9,77.0,0.54
Fire Emblem: Path of Radiance,Action,GC,8.9,85.0,0.54
Hotel Dusk: Room 215,Adventure,DS,8.6,78.0,0.54
Final Fantasy Explorers,Role-Playing,3DS,7.0,69.0,0.54
SSX Tricky,Sports,GC,8.6,87.0,0.54
Greg Hastings' Tournament Paintball,Shooter,XB,9.2,74.0,0.54
ESPN NBA Basketball,Sports,PS2,8.4,89.0,0.54
Dragon Ball Z: Ultimate Tenkaichi,Fighting,X360,5.8,55.0,0.54
Sacred 2: Fallen Angel,Role-Playing,X360,7.3,71.0,0.54
Two Worlds II,Role-Playing,X360,6.6,67.0,0.54
Over the Hedge,Platform,PS2,8.6,58.0,0.54
Mat Hoffman's Pro BMX,Sports,PS,8.6,80.0,0.54
NHL 14,Sports,X360,5.9,81.0,0.54
The Hobbit,Platform,PS2,8.6,59.0,0.54
War of the Monsters,Fighting,PS2,8.9,80.0,0.54
Harry Potter and the Deathly Hallows - Part 1,Action,Wii,5.0,41.0,0.54
NBA Street Vol. 2,Sports,GC,8.1,88.0,0.54
The Incredible Hulk: Ultimate Destruction,Action,PS2,8.7,83.0,0.54
Time Crisis: Razing Storm,Shooter,PS3,5.9,58.0,0.54
Summer Sports: Paradise Island,Sports,Wii,4.6,46.0,0.53
Time Crisis II,Shooter,PS2,7.9,81.0,0.53
NCAA March Madness 06,Sports,PS2,9.1,78.0,0.53
LEGO Dimensions,Action,WiiU,6.5,62.0,0.53
Valkyria Chronicles II,Role-Playing,PSP,8.1,83.0,0.53
Tatsunoko vs. Capcom: Ultimate All-Stars,Fighting,Wii,8.8,85.0,0.53
Rune Factory: A Fantasy Harvest Moon,Role-Playing,DS,8.1,78.0,0.53
Legacy of Kain: Defiance,Action,PS2,9.3,75.0,0.53
NCAA March Madness 2005,Sports,PS2,8.3,78.0,0.53
007 Racing,Racing,PS,4.6,51.0,0.53
Tactics Ogre: Let Us Cling Together,Role-Playing,PSP,8.8,87.0,0.53
Conflict: Vietnam,Shooter,PS2,8.1,58.0,0.53
Dragon's Crown,Role-Playing,PS3,8.3,82.0,0.53
MLB SlugFest 20-04,Sports,PS2,8.3,78.0,0.53
Blitz: The League,Sports,XB,7.7,78.0,0.53
