name,user_score,user_count
Uncharted: The Nathan Drake Collection,8.1,1264.0
The Legend of Zelda: The Wind Waker,8.9,968.0
Guitar Hero III: Legends of Rock,8.4,87.0
Luigi's Mansion: Dark Moon,8.4,458.0
Forza Motorsport 4,8.2,617.0
Madden NFL 2005,7.9,78.0
Guitar Hero III: Legends of Rock,7.9,165.0
Madden NFL 07,8.2,39.0
Halo 5: Guardians,6.4,2438.0
Spider-Man: The Movie,7.9,41.0
Call of Duty: Infinite Warfare,3.4,1129.0
God of War,8.9,997.0
Splatoon,8.5,1184.0
Nintendo Land,7.9,471.0
Tony Hawk's Pro Skater 3,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,8.9,33.0
The Elder Scrolls IV: Oblivion,8.7,1109.0
Need for Speed: Most Wanted,9.1,137.0
Michael Jackson: The Experience,8.3,31.0
Call of Duty: Advanced Warfare,4.8,207.0
Resistance: Fall of Man,8.1,715.0
Kingdom Hearts II,9.0,766.0
Super Mario 3D World,9.0,1607.0
Call of Duty: Advanced Warfare,4.9,221.0
FIFA 15,4.5,109.0
Fable II,6.5,2423.0
Namco Museum,7.3,6.0
Batman: Arkham Asylum,8.9,1122.0
Metal Gear Solid 3: Snake Eater,9.3,955.0
Assassin's Creed: Revelations,7.5,613.0
Fallout 4,6.2,1749.0
FIFA 14,4.2,435.0
Daxter,8.7,109.0
FIFA Soccer 06,7.8,47.0
EyeToy Play,7.5,22.0
Gran Turismo 5 Prologue,7.1,120.0
Assassin's Creed: Revelations,7.2,564.0
Street Fighter IV,7.3,330.0
Madden NFL 2003,7.7,65.0
Half-Life,9.1,3161.0
World of Warcraft: The Burning Crusade,7.9,785.0
Battlefield 1,8.4,809.0
God of War II,8.9,709.0
World Soccer Winning Eleven 9,8.2,23.0
Fallout: New Vegas,8.1,769.0
Forza Motorsport 2,8.3,381.0
Carnival Games,6.0,44.0
Watch Dogs,6.3,2996.0
Tekken Tag Tournament,8.5,117.0
Far Cry 4,7.7,1653.0
Left 4 Dead 2,8.6,681.0
The Witcher 3: Wild Hunt,9.2,10179.0
Assassin's Creed: Unity,4.9,2050.0
Batman: Arkham Knight,7.6,2679.0
The Legend of Zelda: Skyward Sword,8.0,1958.0
Fallout 3,8.0,910.0
Professor Layton and the Diabolical Box,8.8,72.0
EA Sports Active,8.7,39.0
Tony Hawk's Underground,8.7,121.0
Monster Hunter 4 Ultimate,8.7,348.0
The Elder Scrolls V: Skyrim,8.1,9073.0
NBA 2K16,6.7,364.0
Tekken 5,8.6,229.0
MotorStorm,7.4,220.0
World Soccer Winning Eleven 8 International,9.1,38.0
Sports Champions,7.9,104.0
Call of Duty: Ghosts,3.7,1564.0
Flash Focus: Vision Training in Minutes a Day,4.0,4.0
Tom Clancy's The Division,7.0,2219.0
Big Brain Academy: Wii Degree,6.9,39.0
LEGO Indiana Jones: The Original Adventures,7.5,66.0
The Sims: Unleashed,8.0,29.0
Harry Potter and the Sorcerer's Stone,7.5,41.0
Super Paper Mario,7.9,417.0
Spyro: Year of the Dragon,8.8,207.0
Assassin's Creed IV: Black Flag,8.1,840.0
FIFA Soccer 2005,7.6,56.0
Tony Hawk's Pro Skater 4,8.5,128.0
MySims,7.3,13.0
Midnight Club 3: DUB Edition,8.4,31.0
SOCOM: U.S. Navy SEALs,7.9,82.0
Jak and Daxter: The Precursor Legacy,8.7,312.0
Pro Evolution Soccer 2008,7.9,38.0
Resident Evil 4,8.9,1013.0
Guitar Hero: World Tour,7.6,71.0
FIFA Soccer 10,7.6,203.0
Star Wars: Battlefront,8.7,142.0
The Simpsons: Road Rage,7.7,32.0
Luigi's Mansion,8.5,161.0
Battlefield 4,6.9,1580.0
Star Wars: Battlefront II,9.0,268.0
Just Dance 2014,6.2,10.0
Cooking Mama 2: Dinner With Friends,8.0,9.0
Grand Theft Auto: Liberty City Stories,7.8,112.0
The Getaway,6.8,88.0
James Bond 007: Agent Under Fire,7.9,48.0
FIFA Soccer 11,7.5,155.0
Left 4 Dead,7.9,1309.0
Assassin's Creed: Unity,4.1,1005.0
Resident Evil 5,7.5,523.0
Assassin's Creed: Brotherhood,8.3,693.0
FIFA Soccer 2004,6.4,76.0
Battlefield 4,5.8,579.0
Batman: Arkham Asylum,8.7,1080.0
Battlefield 4,5.6,542.0
Battlefield: Bad Company 2,8.6,869.0
Guitar Hero: On Tour,8.8,29.0
Clubhouse Games,8.4,28.0
Borderlands,8.2,715.0
Tekken 4,8.3,126.0
Grand Theft Auto 2,8.0,67.0
Metal Gear Solid V: The Phantom Pain,8.2,3943.0
Spider-Man 2,8.9,106.0
FIFA Soccer 2003,6.7,35.0
LittleBigPlanet 2,8.4,657.0
Crash Bash,8.2,99.0
Assassin's Creed Syndicate,6.8,1319.0
LEGO Batman: The Videogame,7.9,75.0
Destiny,5.5,1735.0
Far Cry 3,8.5,1041.0
James Bond 007: Nightfire,8.5,66.0
Star Wars Episode III: Revenge of the Sith,7.2,82.0
The Legend of Zelda: Spirit Tracks,7.8,228.0
Max Payne,8.5,86.0
Assassin's Creed IV: Black Flag,7.9,701.0
The Lord of the Rings: The Return of the King,8.7,105.0
Gears of War: Ultimate Edition,7.5,563.0
True Crime: Streets of LA,8.0,94.0
Professor Layton and the Unwound Future,9.2,111.0
FIFA 16,4.4,459.0
Wii Music,4.6,116.0
Madden NFL 16,5.9,180.0
Gran Turismo 6,7.7,758.0
Halo: The Master Chief Collection,7.2,1267.0
Super Mario Maker,8.7,691.0
God of War: Chains of Olympus,8.6,565.0
Enter the Matrix,8.1,137.0
Crisis Core: Final Fantasy VII,8.0,463.0
Dance Central,7.6,85.0
L.A. Noire,7.7,1010.0
Ace Combat 04: Shattered Skies,9.1,95.0
Animal Crossing,8.9,137.0
FIFA Soccer 08,6.5,36.0
Club Penguin: Elite Penguin Force,8.0,37.0
Spider-Man,9.0,107.0
Mario Party 9,6.8,155.0
Sonic Rush,8.5,101.0
Rhythm Heaven,9.0,63.0
Fallout: New Vegas,7.8,492.0
Personal Trainer: Cooking,7.8,10.0
The Elder Scrolls IV: Oblivion,8.0,604.0
The Legend of Zelda: A Link Between Worlds,8.9,1057.0
Resident Evil 6,5.4,1304.0
Mass Effect 2,8.9,3143.0
Dragon Ball Z: Budokai,7.9,71.0
Madden NFL 2002,7.9,46.0
The Sims: Vacation,7.8,22.0
LEGO Batman: The Videogame,7.9,22.0
Animal Crossing: Happy Home Designer,6.9,106.0
The Sims 4,3.9,2057.0
Borderlands 2,8.2,892.0
LEGO Batman: The Videogame,8.0,16.0
Kung Fu Panda,7.4,32.0
Mass Effect 3,5.8,3725.0
Heavy Rain,7.7,2759.0
Saints Row 2,8.1,307.0
Tom Clancy's Splinter Cell,8.5,121.0
FIFA 14,6.3,616.0
Killzone 2,8.1,1505.0
Far Cry 3,8.6,1247.0
Epic Mickey,7.0,131.0
NBA 2K13,7.2,131.0
Dragon Ball Z: Budokai Tenkaichi 3,9.2,173.0
The Sims: Livin Large,6.6,20.0
World Soccer Winning Eleven 6 International,9.1,65.0
Devil May Cry,8.5,466.0
Star Wars: The Old Republic,5.9,2748.0
Middle-Earth: Shadow of Mordor,8.1,1886.0
Sonic Heroes,7.8,94.0
Hitman 2: Silent Assassin,7.8,78.0
Titanfall,6.4,2658.0
Battlefield: Bad Company 2,8.5,572.0
SOCOM II: U.S. Navy SEALs,9.0,93.0
Pac-Man Collection,7.8,4.0
Street Fighter IV,7.3,292.0
inFAMOUS,8.3,1172.0
Kirby Super Star Ultra,8.8,76.0
Call of Duty: Ghosts,4.3,700.0
FIFA 15,4.2,85.0
Mass Effect,8.7,1692.0
Sonic Mega Collection Plus,8.6,30.0
World Soccer Winning Eleven 7 International,9.0,45.0
Sega Superstars Tennis,6.8,18.0
Hot Shots Golf 3,8.9,16.0
Cooking Mama: Cook Off,5.3,23.0
Call of Duty: Finest Hour,7.7,69.0
