name,user_score,user_count
Professor Layton vs Phoenix Wright: Ace Attorney,8.5,99.0
Ben 10: Alien Force,7.8,11.0
Final Fantasy Anthology,8.1,28.0
DiRT 2,8.2,110.0
Prince of Persia: Warrior Within,7.5,35.0
Killzone: Mercenary,8.9,513.0
Pro Evolution Soccer 2010,4.6,5.0
Guitar Hero: Metallica,8.1,79.0
Final Fantasy X / X-2 HD Remaster,8.5,223.0
Need for Speed: Hot Pursuit 2,8.3,15.0
Rayman Raving Rabbids 2,7.0,15.0
The Sims 2: Pets,7.3,10.0
Dragon Ball Z: Budokai Tenkaichi 2,8.6,61.0
Guitar Hero: Aerosmith,6.3,15.0
Star Wars The Clone Wars: Republic Heroes,6.4,5.0
pro evolution soccer 2011,5.8,5.0
Harvest Moon: A Wonderful Life,8.9,148.0
All Star Cheer Squad,5.2,10.0
DmC: Devil May Cry,5.3,1471.0
Motocross Mania,5.3,6.0
Darksiders II,8.0,456.0
Need for Speed Rivals,5.4,107.0
[Prototype 2],7.0,173.0
Armored Core 2,8.4,19.0
The Godfather II,6.9,60.0
Dragon's Dogma,7.8,320.0
Pro Evolution Soccer 2016,7.1,680.0
Rare Replay,7.7,325.0
Band Hero,5.0,30.0
NCAA Football 08,8.3,23.0
FIFA Soccer 2004,8.2,23.0
The Sims 2: Castaway,7.3,18.0
Star Ocean: The Last Hope,7.2,150.0
Sniper: Ghost Warrior,6.0,34.0
Invizimals,7.3,19.0
Forza Horizon 2,5.1,116.0
WWE 2K15,3.1,57.0
Too Human,7.0,458.0
Tiger Woods PGA Tour 10,7.7,9.0
Tom Clancy's Splinter Cell: Double Agent,8.1,148.0
Naruto Shippuden: Ultimate Ninja Storm 2,8.5,39.0
Golden Sun: Dark Dawn,8.1,86.0
Fight Night Champion,7.4,105.0
Dead Island: Riptide,6.3,192.0
Madden NFL 16,3.1,18.0
Star Wars The Clone Wars: Jedi Alliance,7.8,32.0
The World Ends With You,8.9,283.0
Drawn to Life,8.2,30.0
Sid Meier's Civilization Revolution,7.7,87.0
NBA 2K7,8.4,18.0
James Bond 007: Nightfire,8.6,46.0
Goldeneye 007: Reloaded,6.3,52.0
Rayman Origins,8.2,209.0
Aliens: Colonial Marines,3.8,449.0
Lips,7.4,34.0
MadWorld,8.6,176.0
Need for Speed: ProStreet,7.1,19.0
Perfect Dark Zero,7.3,229.0
Marvel Nemesis: Rise of the Imperfects,6.3,46.0
Need for Speed: Porsche Unleashed,8.5,24.0
Resident Evil: Operation Raccoon City,4.9,330.0
UFC Personal Trainer: The Ultimate Fitness System,6.5,15.0
Worms: Open Warfare,6.6,18.0
Star Wars Episode II: Attack of the Clones,5.0,6.0
Ghost Squad,7.5,31.0
Maximo: Ghosts to Glory,8.7,16.0
Donkey Kong Country 3,8.4,27.0
All-Star Baseball 2003,8.4,17.0
Unlimited Saga,3.0,29.0
Pokemon Dash,5.9,34.0
Dragon Ball: Raging Blast,7.2,58.0
Twisted Metal: Head On,8.2,38.0
Sonic Unleashed,6.7,49.0
Cabela's Deer Hunt: 2004 Season,9.0,40.0
Driv3r,4.7,69.0
ISS Pro Evolution,8.7,40.0
Need For Speed: Undercover,6.8,37.0
Metroid Prime Hunters,8.0,188.0
Bayonetta 2,8.2,1217.0
Star Wars Battlefront: Elite Squadron,8.0,41.0
Syphon Filter: The Omega Strain,6.9,30.0
FIFA Soccer 11,6.6,7.0
The Sims 3,3.3,31.0
Mortal Kombat: Deception,8.8,24.0
That's So Raven,7.6,5.0
DJ Hero,7.6,19.0
Portal 2,8.8,5999.0
Duke Nukem Forever,4.9,278.0
Star Wars: The Force Unleashed II,7.8,31.0
Harry Potter and the Half-Blood Prince,6.0,8.0
Wall-E,8.4,9.0
Professor Layton and the Azran Legacy,7.9,86.0
Mega Man X5,8.9,55.0
Titanfall 2,8.4,704.0
Genji: Days of the Blade,5.8,30.0
Metal Gear Solid V: The Phantom Pain,7.3,900.0
Rockstar Games presents Table Tennis,7.8,69.0
Drawn to Life: The Next Chapter,6.0,8.0
PokePark 2: Wonders Beyond,7.0,27.0
DJ Hero 2,7.8,22.0
WWE SmackDown vs. Raw 2009,6.0,9.0
LEGO Batman 2: DC Super Heroes,5.2,25.0
SoulCalibur V,6.7,150.0
Shark Tale,6.5,6.0
Zone of the Enders,7.4,49.0
Pro Evolution Soccer 2015,7.2,386.0
Tony Hawk's Underground 2,7.8,12.0
Madden NFL 06,7.9,16.0
Raving Rabbids: Travel in Time,7.6,14.0
Capcom vs. SNK 2: Mark of the Millennium 2001,7.9,27.0
MVP 06 NCAA Baseball,9.0,18.0
Turok,7.1,120.0
Coded Arms,6.5,61.0
Final Fantasy Tactics A2: Grimoire of the Rift,6.9,106.0
The Lord of the Rings: Conquest,7.1,57.0
Band Hero,5.7,9.0
Burnout,7.7,33.0
Spectrobes,7.9,31.0
The Godfather II,7.2,50.0
Mortal Kombat: Unchained,8.8,31.0
Need for Speed: Shift,6.5,31.0
Dark Souls II,7.9,915.0
Assassin's Creed: Revelations,7.4,771.0
[Prototype 2],6.8,179.0
Midnight Club 3: DUB Edition,7.4,40.0
Resident Evil: Revelations,7.2,204.0
Tom Clancy's Rainbow Six: Vegas,7.1,31.0
Red Faction: Guerrilla,8.1,136.0
Ace Combat: Assault Horizon,6.7,82.0
Unreal Championship,8.2,24.0
Lego Batman 3: Beyond Gotham,6.7,11.0
Crysis 2,6.8,1594.0
Tales of Vesperia,8.2,264.0
MLB 13: The Show,7.8,114.0
LEGO Marvel Super Heroes,8.0,71.0
Namco Museum Remix,6.3,4.0
NBA 2K16,4.6,13.0
Sword of Mana,8.3,25.0
FIFA 17,3.3,21.0
Marvel: Ultimate Alliance 2,7.3,51.0
Dragon Age: Inquisition,5.9,3926.0
Resonance of Fate,8.0,136.0
Pirates of the Caribbean: At World's End,6.9,19.0
Tiger Woods PGA Tour 08,6.6,7.0
Classic NES Series: Donkey Kong,4.8,4.0
Harvest Moon: Animal Parade,8.9,20.0
WWE SmackDown vs. Raw 2010,7.7,9.0
Style Savvy: Trendsetters,8.0,15.0
Final Fantasy XIII-2,6.3,268.0
Oddworld: Munch's Oddysee,8.7,32.0
Persona 4: Arena,7.7,180.0
Brink,5.8,168.0
NHL 11,7.7,71.0
NCAA Football 07,6.9,20.0
Full Spectrum Warrior,8.7,27.0
LEGO Marvel's Avengers,7.0,87.0
Katamari Damacy,9.0,86.0
Just Dance 2015,6.6,26.0
LEGO Dimensions,7.1,65.0
Naruto Shippuden: Ultimate Ninja Storm Generations,7.1,83.0
Shaun Palmer's Pro Snowboarder,8.7,13.0
James Bond 007: Agent Under Fire,6.8,25.0
Harvest Moon DS: Island of Happiness,7.0,22.0
Star Wars Episode III: Revenge of the Sith,7.5,12.0
Ultimate Spider-Man,7.9,54.0
Monopoly Streets,5.2,5.0
Total War: Rome II,4.2,3742.0
NBA Live 08,6.6,9.0
Star Ocean: The Last Hope International,6.7,155.0
Dead to Rights,8.9,16.0
Indiana Jones and the Staff of Kings,7.0,28.0
Tiger Woods PGA Tour 07,6.0,8.0
My Little Pony: Pinkie Pie's Party,0.0,4.0
Major League Baseball 2K7,7.1,34.0
Persona Q: Shadow of the Labyrinth,8.1,169.0
MLB 14: The Show,7.7,205.0
X-Men: Mutant Academy 2,8.4,18.0
Kirby: Canvas Curse,8.2,87.0
Madden NFL 10,7.2,24.0
MLB 09: The Show,8.1,61.0
Borderlands: The Pre-Sequel,6.4,161.0
Madden NFL 11,5.4,7.0
Super Monkey Ball Jr.,8.6,11.0
The Witcher 3: Wild Hunt,9.3,10665.0
F1 2011,7.1,54.0
Mobile Suit Gundam: Encounters in Space,8.5,37.0
MLB 10: The Show,8.3,107.0
MX vs. ATV Reflex,6.6,30.0
Blur,8.2,86.0
Battlefield: Bad Company 2,8.3,1467.0
DiRT 3,7.1,166.0
The Lord of the Rings: The Two Towers,8.1,18.0
Madden NFL 2003,8.3,16.0
Skate,8.4,137.0
iCarly,8.3,6.0
XCOM: Enemy Unknown,8.2,2235.0
Ben 10: Protector of Earth,7.2,23.0
Virtua Fighter 4: Evolution,9.0,48.0
Crysis,8.0,1970.0
Resident Evil: Survivor,7.0,47.0
The Sims 2: Castaway,4.0,5.0
Godzilla: Destroy All Monsters Melee,7.8,23.0
Silent Hill 3,8.8,315.0
Spyro: Enter the Dragonfly,5.1,24.0
Power Rangers: Dino Thunder,6.2,5.0
Madden NFL 08,6.8,8.0
Madden NFL 09,6.5,4.0
NBA Live 09,7.4,14.0
Dragon Ball: Xenoverse 2,7.8,117.0
Dynasty Warriors 6,7.3,49.0
NCAA Football 09,7.7,26.0
Doom 3: Resurrection of Evil,7.9,16.0
SSX,6.4,186.0
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,5.9,21.0
Two Worlds,5.5,182.0
Tony Hawk's Underground,8.5,24.0
Spider-Man 2,6.9,8.0
NCAA Football 08,7.8,44.0
Skylanders: Trap Team,7.1,18.0
Star Wars: Obi-Wan,5.9,14.0
Ace Attorney Investigations: Miles Edgeworth,8.4,79.0
Kill.Switch,8.3,19.0
Catherine,8.1,372.0
SplashDown,8.2,11.0
Jade Empire,8.6,113.0
Infinite Undiscovery,7.0,158.0
Lego Star Wars: The Force Awakens,7.5,91.0
NHL 12,7.0,72.0
Advance Wars,9.0,95.0
NASCAR 2001,6.6,9.0
WWE SmackDown vs. Raw 2011,6.7,7.0
Mafia,7.6,62.0
Ape Escape: On the Loose,6.4,16.0
Mobile Suit Gundam: Journey to Jaburo,8.1,49.0
MLB 08: The Show,8.7,76.0
TimeSplitters 2,8.8,127.0
Omerta: City of Gangsters,3.3,25.0
Driver: San Francisco,7.6,130.0
Classic NES Series: Zelda II: The Adventure of Link,7.5,39.0
James Bond 007: Blood Stone,7.4,45.0
Metal Gear Solid: Portable Ops Plus,7.5,27.0
LEGO Rock Band,6.8,6.0
Halo 2 Multiplayer Map Pack,7.4,34.0
Mortal Kombat: Shaolin Monks,8.6,74.0
FIFA Soccer 13,1.6,21.0
The LEGO Movie Videogame,5.4,13.0
MotionSports,4.4,9.0
MX vs. ATV Unleashed: On the Edge,8.1,7.0
Mario Pinball Land,4.9,11.0
Dragon Ball Z: Budokai,6.3,15.0
Plants vs. Zombies: Garden Warfare,7.4,438.0
Need for Speed Rivals,5.8,175.0
The Sims 2: Apartment Pets,3.3,4.0
Harry Potter and the Chamber of Secrets,8.3,27.0
Prince of Persia: The Forgotten Sands,7.6,120.0
The Lord of the Rings: The Return of the King,8.5,21.0
The Sims: Medieval,6.1,173.0
LEGO Batman 2: DC Super Heroes,8.0,4.0
Top Spin 4,7.7,55.0
Baldur's Gate: Dark Alliance II,8.7,54.0
Shark Tale,9.0,4.0
IL-2 Sturmovik: Birds of Prey,7.3,20.0
Test Drive Unlimited 2,6.4,87.0
NBA Street Vol. 2,8.8,24.0
MX vs. ATV Untamed,7.1,17.0
The Last Remnant,6.9,122.0
NCAA Football 2005,8.0,12.0
The Sly Collection,8.8,172.0
Naruto: Clash of Ninja,8.1,20.0
Sniper Elite 3,7.1,178.0
Prince of Persia: The Two Thrones,8.5,111.0
Hot Shots Golf: Open Tee 2,8.6,12.0
Suikoden II,8.4,162.0
Iron Man,6.2,45.0
FIFA Soccer 06,7.5,22.0
Fight Night 2004,8.7,20.0
.hack//Mutation Part 2,8.9,81.0
Wolfenstein: The New Order,7.8,397.0
Cars: Mater-National Championship,6.8,5.0
Kirby's Dream Collection: Special Edition,8.8,37.0
Return to Castle Wolfenstein: Tides of War,8.8,33.0
RIFT,7.3,561.0
Spider-Man 3,7.0,40.0
Mass Effect,8.6,2386.0
The Evil Within,7.3,430.0
Armored Core 3,9.0,33.0
Star Wars: Republic Commando,8.9,89.0
The LEGO Movie Videogame,7.1,98.0
Turok,6.0,39.0
Terraria,7.2,139.0
Red Steel,6.8,121.0
Unreal Tournament III,7.7,127.0
Fossil Fighters: Champions,7.1,11.0
The Sims 3,6.4,20.0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",6.8,5.0
NFL Street,8.8,9.0
Final Fantasy Crystal Chronicles: Ring of Fates,7.2,25.0
Bakugan: Battle Brawlers,7.2,11.0
Blazing Angels: Squadrons of WWII,6.9,9.0
WWE SmackDown vs. RAW 2007,8.1,21.0
Skylanders: Trap Team,7.0,5.0
F1 2015,6.3,43.0
Tony Hawk's Proving Ground,6.6,17.0
The Darkness,7.7,107.0
MLB 2004,7.9,9.0
The Sims 3: High-End Loft Stuff,6.5,17.0
Darkstone,8.3,12.0
NCAA March Madness 2003,8.0,27.0
Thrillville,2.9,52.0
Castlevania: Lords of Shadow,7.8,237.0
NHL 10,8.4,71.0
100 Classic Books,6.0,12.0
Street Fighter Anniversary Collection,8.7,20.0
NHL 13,6.6,86.0
Napoleon: Total War,7.9,515.0
Madden NFL 10,7.8,5.0
Rayman Legends,8.7,465.0
The Sims: Bustin' Out,9.0,15.0
BioShock Infinite,8.5,7322.0
Ratatouille,7.1,7.0
Lollipop Chainsaw,7.1,199.0
Tom Clancy's EndWar,6.6,42.0
Shrek: Hassle at the Castle,7.4,5.0
Suikoden IV,7.3,47.0
Gods Eater Burst,7.9,35.0
Fist of the North Star: Ken's Rage,6.9,29.0
Plants vs. Zombies: Garden Warfare,7.8,24.0
One Piece: Pirate Warriors 2,7.8,61.0
Brothers In Arms: Road to Hill 30,8.0,69.0
LEGO Jurassic World,6.7,44.0
Kung Fu Panda,8.6,5.0
Freedom Wars,8.3,265.0
Shaun White Snowboarding,6.3,26.0
Radiata Stories,9.0,54.0
F-Zero GX,8.5,161.0
Disney's Chicken Little,8.9,7.0
Scene It? Box Office Smash,7.4,25.0
Yoshi Topsy-Turvy,6.6,5.0
Monster Jam: Maximum Destruction,6.0,6.0
Tiger Woods PGA Tour 09,7.2,9.0
Mortal Kombat,7.8,192.0
Tiger Woods PGA Tour 09,7.8,29.0
Advance Wars 2: Black Hole Rising,9.4,97.0
Wario: Master of Disguise,7.4,19.0
The Last Story,8.4,179.0
Drakengard,9.1,88.0
Champions: Return to Arms,8.8,43.0
Harry Potter and the Goblet of Fire,6.7,48.0
Tiger Woods PGA Tour 10,6.9,20.0
007: Quantum of Solace,7.5,26.0
Farming Simulator 17,8.0,20.0
Borderlands 2,7.6,358.0
Harry Potter and the Half-Blood Prince,8.3,13.0
Crash Bandicoot Purple: Ripto's Rampage,6.6,12.0
Assassin's Creed IV: Black Flag,7.7,1470.0
Need For Speed: Undercover,6.2,29.0
Spyro: A Hero's Tail,8.0,44.0
Crash: Twinsanity,8.0,129.0
The LEGO Movie Videogame,7.7,25.0
Max Payne 2: The Fall of Max Payne,8.4,49.0
Metal Gear Solid V: The Phantom Pain,7.2,168.0
Drawn to Life: The Next Chapter,7.7,22.0
GoldenEye: Rogue Agent,7.0,32.0
WWE 2K15,4.0,65.0
Star Ocean: First Departure,7.4,28.0
James Bond 007: Everything or Nothing,7.4,27.0
X2: Wolverine's Revenge,7.2,13.0
NBA Live 06,6.4,15.0
Rayman 3D,6.6,48.0
Football Manager 2014,5.5,275.0
TimeSplitters 2,7.7,34.0
Onimusha: Dawn of Dreams,8.9,62.0
Sengoku Basara: Samurai Heroes,7.9,29.0
Stuntman: Ignition,7.3,31.0
Real Heroes: Firefighter,8.2,10.0
Dishonored 2,7.7,569.0
The Crew,5.9,176.0
Dragon Ball: Raging Blast 2,7.4,30.0
NHL 13,6.8,60.0
Dead or Alive 5,7.7,109.0
Evolve,5.1,336.0
Lemony Snicket's A Series of Unfortunate Events,5.7,12.0
Lost Planet: Extreme Condition,7.0,36.0
X-Men Legends II: Rise of Apocalypse,7.3,41.0
LittleBigPlanet 3,7.2,64.0
LEGO Star Wars II: The Original Trilogy,8.0,45.0
Rock Band 3,6.9,36.0
Dragon Age II,4.5,4533.0
Tony Hawk's Pro Skater 2x,8.8,5.0
NBA Live 08,6.8,10.0
FIFA Soccer 2003,7.7,11.0
The Lord of the Rings: Conquest,7.0,110.0
Far Cry 4,6.7,1064.0
NASCAR 06: Total Team Control,7.7,18.0
Iron Man,6.5,16.0
White Knight Chronicles II,7.1,64.0
Juiced 2: Hot Import Nights,7.6,21.0
Wolfenstein,7.4,77.0
The Walking Dead: Survival Instinct,4.0,410.0
The Sims 3: Generations,3.6,81.0
Ape Escape 2,8.4,32.0
Sega Rally Revo,7.0,20.0
Shin Megami Tensei: Persona 3 FES,8.3,296.0
FIFA Soccer 2002,5.8,28.0
Angry Birds Trilogy,4.6,20.0
Condemned 2: Bloodshot,8.4,178.0
Okami,9.3,327.0
Shin Megami Tensei: Persona 3 Portable,8.3,317.0
Crash of the Titans,7.1,24.0
NHL 2001,7.7,7.0
Crysis 3,6.5,1223.0
Buzz Lightyear of Star Command,5.3,4.0
NHL 16,5.5,157.0
Tony Hawk's Project 8,7.2,14.0
Ghostbusters: The Video Game,8.5,125.0
XCOM: Enemy Unknown,8.3,366.0
Metal Gear Solid 2: Substance,8.5,39.0
Tony Hawk's American Wasteland,7.7,15.0
Wild ARMs 3,8.4,38.0
Madden NFL 07,9.2,5.0
LEGO Jurassic World,7.2,11.0
Tiger Woods PGA Tour 2004,8.2,14.0
Test Drive Unlimited 2,6.1,44.0
Tak 2: The Staff of Dreams,8.0,10.0
Just Dance 3,6.0,7.0
LEGO Pirates of the Caribbean: The Video Game,7.3,20.0
Donkey Kong Barrel Blast,6.8,26.0
Viewtiful Joe,8.3,115.0
The Urbz: Sims in the City,9.2,25.0
Guitar Hero: Metallica,8.0,48.0
Strike Force Bowling,6.8,4.0
Red Steel 2,8.6,178.0
XGRA: Extreme G-Racing Association,8.6,8.0
Mafia III,4.6,274.0
Prince of Persia: The Forgotten Sands,7.8,112.0
Warriors Orochi 3,7.9,35.0
Tomb Raider III: Adventures of Lara Croft,8.2,29.0
DJ Hero 2,7.5,17.0
Tiger Woods PGA Tour 12: The Masters,6.1,25.0
Battle of Giants: Dragons,6.0,4.0
Wall-E,6.3,6.0
Harry Potter and the Half-Blood Prince,4.3,7.0
NieR,8.4,263.0
2014 FIFA World Cup Brazil,4.3,87.0
NBA 2K9,7.0,37.0
SpongeBob's Atlantis SquarePantis,5.5,6.0
NFL Fever 2003,8.6,12.0
Samurai Warriors 2,8.8,13.0
Wet,6.4,55.0
Cooking Mama 4: Kitchen Magic!,6.0,7.0
Scribblenauts: Unlimited,7.4,21.0
Fire Emblem: Shadow Dragon,7.0,106.0
Plants vs. Zombies: Garden Warfare,7.6,259.0
Metroid Prime: Trilogy,9.3,316.0
Robotech: Battlecry,8.5,8.0
Dora the Explorer: Super Spies,8.0,5.0
Disney Universe,6.9,13.0
Advance Wars: Days of Ruin,8.7,96.0
Jak and Daxter: The Lost Frontier,6.3,28.0
Texas Hold 'Em Poker,6.8,6.0
Time Crisis 3,8.1,12.0
WWE SmackDown vs. Raw 2010,6.6,8.0
Vanquish,8.1,304.0
Tearaway,8.9,391.0
Half-Life 2,8.6,115.0
Tony Hawk: RIDE,3.0,67.0
Borderlands: The Pre-Sequel,6.3,130.0
Major League Baseball 2K8,5.9,34.0
Sacred 2: Fallen Angel,7.1,51.0
pro evolution soccer 2011,5.9,33.0
Major League Baseball 2K9,5.3,26.0
Final Fantasy IV Advance,7.3,70.0
Dragon Ball Z: Ultimate Tenkaichi,5.4,77.0
Harry Potter and the Goblet of Fire,6.0,8.0
Dragon Ball Z: Buu's Fury,8.9,39.0
Spider-Man: Mysterio's Menace,8.7,11.0
MySims Racing,7.3,4.0
Naruto: Ultimate Ninja,7.7,35.0
Pac-Man Party,5.9,8.0
Tony Hawk's Underground,7.7,9.0
World of Zoo,8.2,6.0
Shadow The Hedgehog,6.0,137.0
Wave Race: Blue Storm,8.3,29.0
Aliens: Colonial Marines,3.6,295.0
Backyard Wrestling: Don't Try This at Home,7.8,29.0
Yakuza: Dead Souls,7.4,69.0
Fight Night Round 2,8.8,27.0
Dead Island: Riptide,5.9,140.0
Just Dance 2015,8.3,6.0
Kinect Sports Rivals,5.1,144.0
NBA 2K8,6.0,9.0
Dynasty Warriors 8,8.5,75.0
Disney Infinity,7.6,58.0
Secret Agent Clank,6.7,14.0
Call of Juarez: Bound in Blood,7.6,94.0
Fighters Uncaged,4.6,23.0
Rayman Arena,8.6,8.0
Jaws Unleashed,7.5,39.0
Half-Life,8.6,94.0
Split/Second,8.1,101.0
The Golden Compass,4.9,8.0
The Golden Compass,6.8,6.0
Muramasa: The Demon Blade,8.7,101.0
Okami,8.9,236.0
LEGO The Hobbit,6.6,88.0
WWE 2K17,6.9,88.0
Just Dance 2014,7.6,45.0
NHL 15,3.6,306.0
Total War: Shogun 2,8.3,1180.0
Dragon Age: Inquisition,5.2,242.0
SimCity DS,6.3,18.0
Hot Wheels: Stunt Track Challenge,8.1,8.0
FIFA 15,3.1,42.0
Monopoly,5.8,17.0
Tony Hawk: RIDE,2.1,31.0
Medal of Honor: Frontline,7.9,16.0
Dead Space,8.0,1093.0
Rock Band 2,8.0,4.0
NHL 11,7.1,54.0
Yakuza 5,8.5,180.0
2002 FIFA World Cup,5.6,18.0
MVP Baseball 2004,8.5,19.0
Crash Bandicoot: The Wrath of Cortex,7.3,22.0
WWE 2K16,5.7,75.0
Assassin's Creed: Brotherhood,8.2,1102.0
Dead or Alive Xtreme Beach Volleyball,7.8,47.0
Silent Hill: Shattered Memories,6.8,82.0
Blur,8.3,169.0
Madden NFL 06,4.9,44.0
Asphalt: Urban GT,7.5,13.0
Mega Man Anniversary Collection,9.0,20.0
Metal Gear Solid V: Ground Zeroes,5.9,242.0
Harvest Moon: Friends of Mineral Town,9.6,116.0
Ben 10: Alien Force,7.7,12.0
Naruto: The Broken Bond,7.8,46.0
WarioWare D.I.Y.,8.7,39.0
Iron Man,7.0,8.0
The Fight: Lights Out,7.5,77.0
Mega Man X7,5.1,38.0
Deus Ex: Human Revolution,8.5,3069.0
Final Fantasy Anniversary Edition,7.7,47.0
SoulCalibur V,6.2,124.0
Romancing SaGa,8.0,35.0
Lost: Via Domus,6.4,58.0
Top Spin 3,5.7,29.0
Game Party in Motion,3.7,9.0
The Lord of the Rings: The Third Age,8.2,60.0
Call of Duty: Black Ops,6.0,54.0
NCAA Football 09,7.3,25.0
MLB 11: The Show,7.8,87.0
Kinect Rush: A Disney Pixar Adventure,5.1,15.0
Skylanders SWAP Force,6.0,96.0
Terminator 3: Rise of the Machines,6.3,23.0
Guitar Hero: Smash Hits,7.7,6.0
Tom Clancy's HAWX,7.3,51.0
Alice: Madness Returns,7.9,181.0
Shin Megami Tensei IV,8.3,251.0
NBA 2K7,7.8,67.0
NHL 12,7.5,52.0
NASCAR: Dirt to Daytona,8.8,19.0
Unreal Tournament,6.8,13.0
Digimon World 2,7.6,47.0
Prince of Persia: The Two Thrones,8.4,28.0
FIFA Soccer 10,7.6,5.0
JoJo's Bizarre Adventure: All Star Battle,8.3,55.0
Contra: Shattered Soldier,6.6,25.0
Final Fantasy: The 4 Heroes of Light,7.1,38.0
Rayman Legends,8.7,310.0
FIFA Soccer,7.2,79.0
Tenchu 2: Birth of the Stealth Assassins,8.7,32.0
Tony Hawk's Pro Skater 4,8.6,21.0
Naruto: Uzumaki Chronicles 2,6.9,17.0
NHL 06,8.5,29.0
Parasite Eve II,9.0,77.0
Skate it,8.4,25.0
Pro Evolution Soccer 2015,7.8,34.0
Madden NFL 2002,8.1,8.0
Phineas and Ferb: Across the 2nd Dimension,8.3,6.0
Far Cry Instincts,5.7,73.0
Tony Hawk's Pro Skater 4,8.8,4.0
ATV Offroad Fury: Blazin' Trails,7.8,16.0
Tales of the Abyss,8.4,109.0
Payday 2,6.3,203.0
Blacksite: Area 51,6.1,65.0
Spyro Orange: The Cortex Conspiracy,7.0,12.0
XCOM: Enemy Unknown,8.2,296.0
Ben 10: Alien Force,5.3,6.0
Skylanders: Spyro's Adventure,4.9,62.0
The Sims 3: World Adventures,8.0,72.0
Madden NFL 06,8.5,11.0
Titanfall 2,8.0,261.0
BlazBlue: Calamity Trigger,8.4,112.0
Iron Man,5.9,52.0
Naruto: Ultimate Ninja 2,7.9,27.0
NHL 10,7.9,40.0
Zumba Fitness,3.8,4.0
Rock Band 3,8.0,95.0
Blood Wake,7.5,13.0
Dynasty Warriors 5: Xtreme Legends,9.1,26.0
WWE 2K15,5.7,63.0
FIFA World Cup Germany 2006,8.1,33.0
Wreckless: ThE YaKuza MisSiOns,5.2,13.0
Defiance,7.2,249.0
Disgaea 4: A Promise Unforgotten,7.8,126.0
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,6.0,5.0
SpongeBob SquarePants: Battle for Bikini Bottom,8.9,17.0
Doom 3 BFG Edition,6.4,107.0
Spider-Man 3,7.0,53.0
Pro Evolution Soccer 2012,6.3,8.0
The Conduit,8.2,258.0
Just Dance 2016,6.9,11.0
Disney Universe,5.3,13.0
RalliSport Challenge,8.3,19.0
Resident Evil Outbreak File #2,7.7,70.0
Top Spin 3,7.5,20.0
XIII,8.6,35.0
Tomb Raider: Anniversary,8.2,28.0
Rune Factory 4,8.1,122.0
3D Dot Game Heroes,8.0,96.0
Up,8.0,4.0
Breath of Fire IV,8.9,45.0
Tales of Zestiria,8.0,47.0
True Crime: Streets of LA,7.3,29.0
Odin Sphere,8.6,59.0
Titanfall,6.2,1727.0
Arena Football,8.6,14.0
The Lord of the Rings: The Return of the King,8.2,11.0
NHL Hitz 20-02,7.6,8.0
The Legend of Spyro: Dawn of the Dragon,6.5,19.0
Classic NES Series: Dr. Mario,7.5,6.0
The Sims: Bustin' Out,8.9,12.0
NCAA March Madness 07,8.6,7.0
"Monsters, Inc. Scream Team",6.9,8.0
"Warhammer 40,000: Space Marine",7.8,232.0
Top Spin 3,7.6,36.0
Cabela's Big Game Hunter 2005 Adventures,8.4,16.0
LEGO Rock Band,7.2,31.0
Battlefield 2: Modern Combat,8.2,29.0
Tom Clancy's HAWX,8.1,39.0
All-Star Baseball 2002,7.6,8.0
Need for Speed: Most Wanted,9.1,22.0
Bolt,5.8,5.0
WWE Raw 2,7.3,25.0
Manhunt 2,7.8,53.0
Fullmetal Alchemist and the Broken Angel,8.1,38.0
Tony Hawk's Project 8,7.6,14.0
Batman Begins,7.3,70.0
Dogz,7.8,9.0
Tony Hawk's Proving Ground,5.4,44.0
Dr. Seuss' The Cat in the Hat,6.5,8.0
Barbie Groovy Games,7.0,4.0
Wolfenstein,7.5,128.0
Blinx: The Time Sweeper,8.0,41.0
ESPN NFL Football,8.5,25.0
Major League Baseball 2K5,8.2,17.0
Tetris Party Deluxe,5.8,4.0
Gravity Rush,8.5,625.0
Quantum Break,6.8,1659.0
Archer Maclean's Mercury,6.6,21.0
TMNT,6.3,32.0
Middle-Earth: Shadow of Mordor,3.4,100.0
Soldier of Fortune: Gold Edition,6.8,17.0
FIFA 15,4.3,12.0
Final Fantasy IV: The Complete Collection,7.5,80.0
Frontlines: Fuel of War,7.8,77.0
MX 2002 Featuring Ricky Carmichael,8.3,9.0
NCAA Football 07,6.9,10.0
Lunar: Silver Star Story Complete,9.1,35.0
Harvest Moon: The Tale of Two Towns,7.5,13.0
No More Heroes,8.4,259.0
God of War: Origins Collection,8.4,208.0
Dora The Explorer: Dora Saves the Snow Princess,7.0,5.0
Soul Reaver 2,8.5,35.0
Metal Gear Solid 3: Subsistence,9.3,439.0
Enslaved: Odyssey to the West,7.4,312.0
WWF Raw,6.6,15.0
Guitar Hero Live,5.1,69.0
Catz,5.3,16.0
Extermination,7.8,19.0
Batman: Vengeance,6.7,12.0
Hot Shots Golf: World Invitational,8.1,77.0
Tony Hawk's Pro Skater 3,8.4,17.0
Mega Man Zero,8.9,31.0
Resident Evil: Revelations 2,7.7,284.0
LEGO Dimensions,6.4,18.0
NBA 2K8,6.8,19.0
Rayman Origins,8.3,127.0
Assassin's Creed: Unity,3.0,1463.0
